wavelength_nm,irradiance
1650.0,0.22719999999999999
1655.0,0.2261
1660.0,0.2245
1665.0,0.22194999999999998
1670.0,0.2225
1675.0,0.2177
1680.0,0.208
1685.0,0.213
1690.0,0.2105
1695.0,0.2106
1700.0,0.2063
1705.0,0.2051
1710.0,0.2013
1715.0,0.20295
1720.0,0.1993
1725.0,0.1968
1730.0,0.1984
1735.0,0.18505
1740.0,0.1905
1745.0,0.18869999999999998
1750.0,0.18580000000000002
1755.0,0.18525
1760.0,0.18309999999999998
1765.0,0.1812
1770.0,0.17909999999999998
1775.0,0.17775000000000002
1780.0,0.1756
1785.0,0.1737
1790.0,0.1733
1795.0,0.17075
1800.0,0.1699
1805.0,0.1688
1810.0,0.1686
1815.0,0.16315000000000002
1820.0,0.1596
1825.0,0.16260000000000002
1830.0,0.1606
1835.0,0.1583
1840.0,0.15619999999999998
1845.0,0.1538
1850.0,0.1546
1855.0,0.1517
1860.0,0.15030000000000002
1865.0,0.15015
1870.0,0.15080000000000002
1875.0,0.135
1880.0,0.1462
1885.0,0.14515
1890.0,0.1424
1895.0,0.13845000000000002
1900.0,0.1397
